Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,home_elo,away_elo
1794,1997-08-27,Skonto FC,Barcelona,0.0,1.0,A,1477.96,1711.2
1795,1997-09-17,Newcastle Utd,Barcelona,3.0,2.0,H,1516.6,1681.96
1796,1997-10-01,Barcelona,PSV,2.0,2.0,D,1668.28,1455.44
1797,1997-10-22,Dynamo Kyiv,Barcelona,3.0,0.0,H,1489.12,1639.8
1798,1997-11-05,Barcelona,Dynamo Kyiv,0.0,4.0,A,1609.4,1519.52
1799,1997-11-26,Barcelona,Newcastle Utd,1.0,0.0,H,1621.6,1504.4
1800,1997-12-10,PSV,Barcelona,2.0,2.0,D,1461.88,1615.16
1801,1997-09-17,Real Madrid,Rosenborg,4.0,1.0,H,1604.8,1448.08
1802,1997-10-01,Porto,Real Madrid,0.0,2.0,A,1503.0,1622.88
1803,1997-10-22,Real Madrid,Olympiacos,5.0,1.0,H,1633.36,1482.92
1804,1997-11-05,Olympiacos,Real Madrid,0.0,0.0,D,1488.56,1627.72
1805,1997-11-27,Rosenborg,Real Madrid,2.0,0.0,H,1475.2,1600.6
1806,1997-12-10,Real Madrid,Porto,4.0,0.0,H,1612.6,1491.0
1807,1998-03-04,Leverkusen,Real Madrid,1.0,1.0,D,1520.96,1610.08
1808,1998-03-18,Real Madrid,Leverkusen,3.0,0.0,H,1622.48,1508.56
1809,1998-04-01,Real Madrid,Dortmund,2.0,0.0,H,1638.48,1585.76
1810,1998-04-15,Dortmund,Real Madrid,0.0,0.0,D,1585.92,1638.32
1812,1996-09-11,Atletico Madrid,Steaua,4.0,0.0,H,1665.52,1415.84
1813,1996-09-25,Widzew Łódź,Atletico Madrid,1.0,4.0,A,1486.4,1679.12
1814,1996-10-16,Atletico Madrid,Dortmund,0.0,1.0,A,1651.32,1613.72
1815,1996-10-30,Dortmund,Atletico Madrid,1.0,2.0,A,1593.0,1672.04
1816,1996-11-20,Steaua,Atletico Madrid,1.0,1.0,D,1426.48,1661.4
1817,1996-12-04,Atletico Madrid,Widzew Łódź,1.0,0.0,H,1670.0,1477.8
1818,1997-03-05,Ajax,Atletico Madrid,1.0,1.0,D,1483.48,1662.12
1819,1997-03-19,Atletico Madrid,Ajax,2.0,3.0,A,1630.56,1515.04
1820,1995-09-13,Ajax,Real Madrid,1.0,0.0,H,1539.2,1614.16
1821,1995-09-27,Real Madrid,Grasshopper,2.0,0.0,H,1625.36,1488.8
1822,1995-10-18,Real Madrid,Ferencváros,6.0,1.0,H,1635.0,1466.84
1823,1995-11-01,Ferencváros,Real Madrid,1.0,1.0,D,1473.4,1628.44
1824,1995-11-22,Real Madrid,Ajax,0.0,2.0,A,1600.84,1566.8
1825,1995-12-06,Grasshopper,Real Madrid,0.0,2.0,A,1472.32,1617.32
1826,1996-03-06,Real Madrid,Juventus,1.0,0.0,H,1640.2,1694.52
1827,1996-03-20,Juventus,Real Madrid,2.0,0.0,H,1708.68,1626.04
1828,1994-09-14,Barcelona,Galatasaray,2.0,1.0,H,1625.28,1467.36
1829,1994-09-28,Göteborg,Barcelona,2.0,1.0,H,1503.96,1599.84
1832,1994-11-23,Galatasaray,Barcelona,2.0,1.0,H,1492.04,1575.16
1833,1994-12-07,Barcelona,Göteborg,1.0,1.0,D,1568.44,1510.68
1834,1995-03-01,Barcelona,Paris Saint Germain,1.0,1.0,D,1568.08,1612.4
1835,1995-03-15,Paris Saint Germain,Barcelona,2.0,1.0,H,1627.12,1553.36
1836,1993-09-15,Dynamo Kyiv,Barcelona,3.0,1.0,H,1538.6,1534.28
1837,1993-09-29,Barcelona,Dynamo Kyiv,4.0,1.0,H,1551.68,1521.2
1838,1993-10-20,Barcelona,Austria Wien,3.0,0.0,H,1565.0,1467.36
1839,1993-11-03,Austria Wien,Barcelona,1.0,2.0,A,1450.08,1582.28
1840,1993-11-24,Galatasaray,Barcelona,0.0,0.0,D,1494.36,1579.96
